genre,avg_rating,total_popularity_full,n_unique_titles
Drama,6.364432989690722,10989.3626,399
Thriller,5.796887159533074,8871.676,262
Action,6.065533980582524,7989.3177,207
Horror,5.167073170731706,5753.4678,167
Comedy,6.1778378378378385,5342.9205,188
Adventure,6.256637168141593,4067.8423,115
Crime,6.376521739130435,3638.7607,119
Romance,6.308264462809917,3627.0492,125
Fantasy,6.386075949367089,3160.4002,80
Science Fiction,5.854878048780488,3000.326,83
Animation,6.94931506849315,2612.1413,76
Mystery,5.765333333333333,2104.16,78
Family,6.456338028169014,2001.2547,72
Documentary,7.043661971830985,1792.4407,76
TV Movie,5.767307692307693,1284.423,53
Music,6.764705882352941,1117.4048,38
History,6.618181818181818,871.5194,33
War,6.4655172413793105,840.0826,29
Western,5.854166666666667,591.1654,24
