genre,avg_rating,total_popularity_votes,n_unique_titles
Drama,6.490182328190743,41677072,1426
Action,5.9692307692307685,39446675,702
Thriller,5.905956112852665,33015636,957
Comedy,6.185665914221219,31576520,886
Adventure,6.18816199376947,27991340,321
Science Fiction,5.869686411149825,22184824,287
Horror,5.541453831041257,17242063,509
Crime,6.217824074074074,16970079,432
Fantasy,6.286220472440945,13759170,254
Romance,6.18705035971223,10930888,417
Mystery,5.976109215017065,10836194,293
History,6.84,8470970,190
Family,6.2855,7728394,200
Animation,6.770886075949367,7006518,158
War,6.6850746268656716,2804552,67
Music,6.927368421052631,2374578,95
Documentary,7.269930069930069,1697289,143
Western,6.041666666666667,671605,24
TV Movie,6.29375,195139,16
